Time,Ax,Ay,Az,Gx,Gy,Gz
1,1948,1388,19592,13325,-13215,149
2,592,2548,18992,13109,-13435,423
3,1108,2604,19652,13550,-13389,100
4,-5616,2096,19224,13526,-12345,61
5,-10444,3272,15684,13414,-12559,-9
6,-14312,2488,10848,13399,-12998,37
7,-13744,3304,11228,13567,-14918,-66
8,-10020,2972,16456,13461,-14672,67
9,-4928,3308,19624,13552,-14199,-24
10,1212,2896,21036,13417,-14209,-73
11,5300,3300,19380,13459,-13661,93
12,2812,4004,20552,13510,-13172,-15
13,-3600,3032,21004,13518,-12615,147
14,-9640,2776,17380,13523,-11846,53
15,-14260,4000,11108,13251,-12592,193
16,-15828,4872,5760,13362,-13411,30
17,-14328,3780,10896,13348,-14545,-99
18,-9404,2812,17336,13460,-14909,64
19,-3196,2360,19996,13581,-15252,15
20,4020,3640,21152,13632,-14734,4
21,5632,3192,18976,13438,-13529,79
22,-184,4080,19988,13393,-12614,264
23,-5960,3260,17792,13676,-13690,21
24,-11260,3104,14084,13645,-12703,190
25,-14780,2800,11076,13443,-12913,84
26,-13940,3048,12936,13363,-15535,-109
27,-7700,2200,17896,13412,-14773,27
28,-2860,2220,19672,13445,-14301,14
29,3724,4136,19556,13576,-14513,126
30,5376,3980,20808,13519,-12718,-150
31,-3408,1900,19172,13433,-11886,-7
32,-12768,3916,14488,13169,-12053,299
33,-16124,4308,6016,13293,-13104,149
34,-14104,2756,12432,13668,-15443,-223
35,-9012,2984,17036,13771,-15152,14
36,-1240,3204,19404,13503,-15705,113
37,5244,4904,18712,13712,-15431,67
38,3084,3980,20128,13234,-12129,100
39,-4364,3744,20952,13393,-12012,65
40,-13088,4100,12704,13701,-13228,40
41,-14876,5812,6304,13450,-12067,168
42,-12664,2844,13352,13226,-16504,-470
43,-6384,2204,19060,13407,-14421,0
44,-44,3876,20636,13719,-14797,170
45,3264,4160,16232,13729,-13960,239
46,3676,5256,22236,13144,-11754,18
47,-12008,4992,13140,13786,-11753,225
48,-16184,5344,5152,13360,-13116,9
49,-12956,4040,12472,13564,-16111,-239
50,-5496,4408,18044,13652,-14595,86
51,1316,5060,20948,13464,-14282,216
52,952,4956,20156,13521,-13452,12
53,260,768,20376,12407,-13920,90
54,640,-8236,14812,11781,-12964,261
55,-148,-12748,8384,13112,-13421,-29
56,-696,-6664,16968,15266,-13776,135
57,-1448,2428,20008,13990,-13529,296
58,-1768,5792,19676,14047,-13497,240
59,732,740,20692,13010,-13696,207
60,780,-7136,16880,12708,-13703,14
61,1308,-11168,10508,12232,-13668,-119
62,-220,-13788,4492,12943,-13452,90
63,744,-12808,9220,15525,-13126,-124
64,-2692,-2512,17096,15169,-13668,142
65,-452,6756,20924,13940,-13525,-16
66,-1648,10188,18208,13174,-13606,241
67,580,-3164,18976,11977,-13984,92
68,-1024,-8972,13896,12287,-13665,69
69,-908,-13492,5432,12995,-13412,79
70,-84,-11844,10220,13627,-13978,-11
71,-2320,-2852,18844,14288,-14507,-81
72,-1728,5188,20340,14565,-13327,-217
73,-3672,8468,18360,13276,-13676,101
74,-376,-1108,19212,11675,-13746,35
75,828,-10916,11856,11848,-13591,162
76,-256,-12804,320,11362,-13176,249
77,-864,-12136,-352,15752,-13981,-3
78,-1256,-11072,13572,14314,-13256,114
79,-56,120,20728,14671,-13471,246
80,-500,5428,18944,13669,-14016,130
81,1152,7352,19964,14122,-14197,244
82,-556,9924,15664,15864,-11343,542
83,3108,16812,11664,14823,-12456,206
84,1408,16288,14028,11288,-13438,-388
85,-356,6148,19452,12171,-13406,-130
86,1316,-496,19224,11985,-13823,53
87,2076,2092,22488,14664,-12601,-63
88,-2488,14692,14072,14191,-13759,311
89,-1688,17532,6668,14834,-13241,25
90,-12,19760,-576,12680,-13705,49
91,368,13064,16100,11462,-13282,-278
92,884,-440,20656,11728,-14296,-70
93,1380,-884,19336,14542,-13824,-57
94,844,12032,18076,15927,-14000,3
95,836,19312,6940,15157,-14396,144
96,2184,20256,-1580,14040,-13996,70
97,1968,18808,7296,11074,-12841,85
98,-476,10712,18488,12921,-13719,58
99,-136,2608,20132,12267,-13591,86
100,972,976,21072,13352,-13453,177
101,60,13224,17420,15565,-13858,-116
102,1672,17168,11512,14267,-15157,-88
103,2984,18648,472,14497,-13852,144
104,1676,19028,-1076,11755,-13371,-118
105,-88,17520,10992,12427,-13626,-154
106,404,11112,18716,12039,-14929,-20
107,1140,6148,19500,13953,-13552,2
108,1016,7564,19984,13341,-14273,-992
109,-1832,7904,19472,13349,-13764,-529
